Country,Name,Description,City,Founders,Funding,Funding rounds,Industries,Number of employees,Number of investors,Started in
Austria,11) TTTech,"TTTech is a technology pioneer in networked safety controls situated in Vienna, Austria.",Vienna,"Georg Kopetz, Stefan Poledna","€ 169,000,000",5,"Aerospace, Automotive, Autonomous Vehicles, Computer, Electronics, Industrial Automation, Internet of Things, Network Security, Software",1001-5000,"8 (Samsung Electronics, Infineon Technologies, Audi AG, General Electric (GE), Audi)",1998
Austria,12) Raiffeisen Bank,Raiffeisen Bank is a financial institution that provides personal and corporate banking services.,Vienna,,"RON720,000,000",1,"Banking, Financial Services, Lending",10001+,1 (International Finance Corporation),2002
Austria,13) Bikemap,"Bikemap is a global provider of bike map and navigation services. Offline, routing, and map functions are all available with a mobile subscription.",Vienna,"Christof Hinterplattner, Matthias Natmessnig, Peter Eich","€ 2,600,000",6,"Navigation, Sports, Travel",11-50,"3 (Speedinvest, Ponooc, Peter Eich)",2014
Austria,14) Cortical.io,Cortical.io provides AI-based natural language comprehension solutions based on neuroscience-inspired technologies.,Vienna,"Daniel Schreiber, Francisco De Sousa Webber","$15,318,717",6,"Artificial Intelligence, Big Data, Enterprise Software, Information Technology, Legal Tech, Machine Learning, Natural Language Processing, Semantic Search, Software",11-50,"6 (European Investment Bank, Xilinx, Numenta, Open Field Capital, Zirngast)",2011
Austria,15) mySugr,"mySugr is a digital health startup whose mission is to ""make diabetes suffer less.""",Vienna,"Frank Westermann, Fredrik Debong, Gerald Stangl, Michael Forisch","$6,627,695",3,"Diabetes, Fitness, Health Care, mHealth, Wellness",101-250,"5 (Roche Venture Fund, iSeed Ventures, Johann ""Hansi"" Hansmann, XL Group, XLHEALTH)",2012
Austria,16) Storyblok,"Storyblok is a CMS as a Service that is both headless and API-based. A content management system for editors, with structured data for developers.",Linz,"Alexander Feiglstorfer, Dominik Angerer","$11,000,000",2,"CMS, IaaS, Information Technology, Internet, PaaS, SaaS, Web Design, Web Development, Web Hosting",11-50,"4 (Firstminute Capital, Founders Factory, Mubadala Capital | Ventures Europe, 3VC)",2017
Austria,17) Anyline,Anyline provides a simple scanning solution that saves both time and money.,Vienna,"Daniel Albertini, David Dengg, Jakob Hofer, Lukas Kinigadner","$17,016,495",5,"Document Management, Energy Management, Image Recognition, Industrial Automation",51-100,"9 (Project A Ventures, Senovo, Swarovski Group, iSeed Ventures, PUSH Ventures)",2013
Austria,18) kompany,kompany is a RegTech platform for global business verification (KYC) and anti-money laundering compliance.,Vienna,"Bernhard Hoetzl, Iris Pittl, Peter Bainbridge-Clayton, Russell Perry, Vito Gianelly","$15,478,530",11,"B2B, FinTech, GovTech, Information Services, Information Technology",51-100,"21 (Global Brain Corporation, Chris Adelsbach, UNIQA Ventures, Elevator Ventures, Austria Wirtschaftsservice)",2012
Austria,19) Mostly AI,Mostly AI is a digital-age IT firm that enables privacy-preserving big data applications.,Vienna,"Klaudius Kalcher, Michael Platzer, Roland Boubela","$6,145,550",2,"Artificial Intelligence, Big Data, Information Technology, Machine Learning, Predictive Analytics, Privacy, Software",11-50,"3 (Earlybird Venture Capital, 42CAP, PUSH Ventures)",2017
Austria,20) Medicus AI,Medicus AI creates an artificial intelligence (AI)-based enterprise and app platform that helps people make sense of their health data.,Vienna,"Baher Al Hakim, Makram Saleh, Nadine Nehme","€ 6,600,000",3,"Analytics, Artificial Intelligence, Health Diagnostics, Intelligent Systems, Medical, Predictive Analytics",101-250,"14 (Speedinvest, Die Brückenköpfe, Biopart, Vladiano Varnier, West Asia Investment Partners S.a.r.l.)",2015
Austria,21) eyeson,eyeson is a cloud-based video conferencing SaaS and API.,Graz,"Andreas Kröpfl, Michael Wolfgang","€ 4,500,000",7,"Broadcasting, Cloud Data Services, Collaboration, Developer APIs, Information Technology, Software, Unified Communications, Video Conferencing, Video Streaming",11-50,"6 (aws Gründerfonds (aws Founders Fund), eQventure, Hermann Hauser, Tecnet Equity, i4g Investment)",2010
Austria,22) PROPSTER,Propster is a construction project management business that works with architects and property developers.,Vienna,Milan Zahradnik,"€ 3,000,000",1,"Information Services, Information Technology, Property Development, Real Estate",11-50,"6 (Pi Labs, Axeleo Capital, aws Gründerfonds (aws Founders Fund), Allinvest Unternehmensbeteiligungs GmbH, Realty Corporation)",2017
Austria,23) Ares-Genetics,Ares Genetics creates DNA-Sequencing Tests based on Artificial Intelligence to transform Infectious Disease and Drug Resistance Testing.,Vienna,,"$1,489,467",,,1-10,,
Austria,24) journiApp,"Using AI, you can make print items like photo books as simple as capturing images.",Vienna,,"$452,207",,,1-10,,
Austria,25) DerBrutkasten,Der Brutkasten is a multimedia portal for startups in Austria.,Vienna,,"$2,804,100",,,1-10,,
Austria,26) Kokoro,"Kokoro captures the critical variables that lead to high-performing environments at scale, in real-time, and in a transparent manner.",Vienna,,"$315,357",,,1-10,,
Austria,27) seasonax,"Financial professionals can use Seasonax, an analytics and charting program, to find and analyse seasonal patterns in any asset class.",Vienna,,"$1,301,989",,,1-10,,
Austria,28) Folyo,A measurable outdoor advertising platform,Vienna,,"$247,257",,,1-10,,
Austria,29) Helioz,Helioz is a social enterprise that focuses on product development and distribution for low-income households in developing countries.,Vienna,,"$1,054,543",,,1-10,,
Austria,30) Nabriva,Nabriva Therapeutics is a biopharmaceutical business specializing on antibiotic research and development for community and hospital infections.,Vienna,,"$182,354,281",,,101-250,,
Austria,31) Kivu Technologies,"In the security sector, a provider of scalable software for network analysis.",Vienna,,"$2,152,440",,,11-50,,
Austria,32) SCARLETRED Holding,SCARLETRED is transforming the global dermatology market.,Vienna,,"$2,057,801",,,11-50,,
Austria,33) weffect,weffect: the AI-driven approach to empowering all employees to make a significant contribution to the company's bottom line!,Vienna,,"$1,369,527",,,11-50,,
Austria,34) Global Rockstar,We believe that every new artist deserves a global stage to generate money.,Vienna,,"$1,536,455",,,11-50,,
Austria,35) EUCODIS,"EUCODIS Bioscience provides high-performance enzyme solutions for use in the chemical, cosmetics and pharmaceutical industries.",Vienna,,"$12,826,304",,,11-50,,
Austria,36) Evermede,"We're an attractive group of professionals who are enthusiastic about the digital world. Simply put, we create memorable experiences.",Vienna,,"$150,000",,,11-50,,
Belgium,1) iBanFirst,iBanFirst is a fintech platform established in Belgium that enables B2B payments in a variety of currencies.,Brussels,Pierre Antoine Dusoulier,"$51,704,894",3,"Banking, Financial Services, FinTech, Payments",51-100,"5 (Bpifrance, Elaia, Xavier Niel, Serena, Breega)",2013
Belgium,2) Lansweeper,Lansweeper is a software business that specializes in IT asset management software.,Grembergen,,"€ 130,000,000",1,"Asset Management, Compliance, Information Technology, Software",101-250,1 (Insight Partners),2004
Belgium,3) Odoo,"Odoo SA is an open-source business application package that is actively programmed, supported, and managed.",Grand-rosière,Fabien Pinckaers,"$104,121,196",3,"E-Commerce, Human Resources, Open Source, Software",1001-5000,"5 (Summit Partners, XAnge, S.R.I.W., Sofinnova Partners, Meusinvest (Noshaq))",2005
Belgium,4) Showpad,The most beneficial thing that has ever happened to your sales staff,Gent,"Louis Jonckheere, Peter Minne, Pieterjan Bouten","$159,500,000",6,"Analytics, Content, Enterprise Software, Marketing, Meeting Software, SaaS, Sales Automation, Software, Training",251-500,"6 (Insight Partners, Dawn Capital, Silicon Valley Bank, Hummingbird Ventures, Korelya Capital)",2011
Belgium,5) Customs4trade (C4T),"CAS, a SaaS service from Customs4trade, automates customs and trade compliance.",Mechelen,"Ilse Vermeersch, Pieter Haesaert","€ 22,145,000",3,"SaaS, Software, Trading Platform",51-100,"4 (83North, 42CAP, Hi Inov - Dentressangle, 10x Group)",2004
Belgium,6) Cohabs,Cohabs is a global network of lovely shared houses for travelers.,Brussels,"François Samyn, Youri Dauber","$88,749,493",4,"Communities, Real Estate",11-50,"5 (Federale, Finance.Brussels, AG Real Estate, Alphastone, Alphastone)",2016
Belgium,7) Cowboy,Cowboy is a manufacturer and creator of cutting-edge electric bicycles for city dwellers.,Brussels,"Adrien Roose, Karim Slaoui, Tanguy Goretti","$46,102,283",7,"Automotive, Electric Vehicle, Manufacturing",101-250,"18 (Index Ventures, Crowdcube, Tiger Global Management, Kima Ventures, Greyhound Capital)",2017
Belgium,8) Apicbase,"Manage products, inventories, orders, health and safety, and sales statistics from a single SaaS platform.",Antwerp,"Carl Jacobs, Julien Burlat, Kim Rothuys, Pieter Wellens","€ 6,200,000",3,"Digital Media, Food and Beverage, Information Technology, Internet, PaaS, Restaurants, SaaS, Software",11-50,"4 (Volta Ventures, Newion, Ark Angels Activator Fund, BAN Vlaanderen)",2017
Belgium,9) Silverfin,Silverfin is a cloud-based financial reporting platform with value-added customer advising services.,Gent,"Joris Van Der Gucht, Tim Vandecasteele","$34,500,000",3,"Accounting, Financial Services, FinTech, SaaS, Software",101-250,"3 (Index Ventures, SmartFin, Hg)",2013
Belgium,10) Euroclear,"Euroclear is responsible for the settlement of securities transactions, as well as the custody and asset management of these assets.",Brussels,,"€ 275,000,000",2,"Asset Management, Finance, Financial Services",5001-10000,"2 (London Stock Exchange Group, IntercontinentalExchange)",1968
Belgium,11) Proxyclick,Proxyclick is a cloud-based guest management system that takes care of everything from invitation to checkout.,Brussels,"Geoffroy De Cooman, Gregory Blondeau, Jean-Bernard van Zuylen, Laurent Parmentier","$18,533,469",2,"E-Commerce, Enterprise Software, Facility Management, Hospitality, SaaS, Social Media, Software",11-50,"3 (Five Elms Capital, Join Capital, Isomer Capital)",2008
Belgium,12) Sentiance,Sentiance is a data science and behavioral change startup that transforms sensor data into actionable insights into people's behavior and context.,Antwerpen,Toon Vanparys,"$29,558,487",7,"Analytics, Artificial Intelligence, Internet of Things, Machine Learning, Predictive Analytics, Software",51-100,"10 (Volta Ventures, Samsung Catalyst Fund, Qbic Fund, Michel Akkermans, Samsung Strategy and Innovation Center)",2011
Belgium,13) moveUP,moveUP is a startup that specializes in digital therapeutics.,Brussels,,"€ 3,650,000",1,"Health Care, mHealth, Therapeutics",11-50,"5 (Nina Capital, Karista, Qbic, Carevolution, White Fund)",2015
Belgium,14) Biotalys,Biotalys is a green biotech firm that develops crop protection solutions using its own Agrobody technology platform.,Ghent,"Erik Jongedijk, Marnix Peferoen, Peter Verheesen","$71,607,142",6,"Agriculture, AgTech, Biotechnology",11-50,"16 (SoFi, PMV, Gimv, Sofinnova Partners, Flanders Innovation and Entrepreneurship (VLAIO))",2012
Belgium,15) MobieTrain,Your Frontline Team's #1 Mobile Microlearning App,Genk,"Guy Van Neck, Mireille van Hemert-Schelling, Willi Van Boven","€ 6,800,000",4,"E-Learning, Education, Government, Human Resources, Logistics, Retail, Retail Technology",11-50,"7 (Startupbootcamp, Force Over Mass Capital, ING Group, BNP Paribas Fortis, Limburgse Reconversie Maatschappij)",2015
Belgium,16) Soda,"Soda is a data monitoring tool that ensures that your data is fit for purpose, verifiable, and reliable.",Brussels,"Maarten Masschelein, Tom Baeyens","€ 14,600,000",3,"Analytics, Big Data, Business Intelligence, Cloud Data Services, Machine Learning, Software, Test and Measurement",11-50,"5 (Point Nine, Hummingbird Ventures, Singular, Data Community Fund, Innoviris)",2018
Belgium,17) NGDATA,"Customer relationship management (CRM) solutions are provided by NGDATA, a Belgian company that employs big data technology.",Gent,"Frank Hamerlinck, Jürgen Ingels, Luc Burgelman, Steven Noels","$46,845,836",6,"Analytics, Big Data, CRM, Machine Learning, Software",51-100,"9 (Idinvest Partners, Plug and Play Tech Center, ING Group, Capricorn Partners, HPE Growth)",2012
Belgium,18) InvestSuite,InvestSuite is a global fintech that offers financial institutions of all sizes automated investment solutions.,Louvain,"Bart Vanhaeren, Laurent Sorber","€ 9,566,000",6,"Asset Management, Financial Services, FinTech, Software, Trading Platform, Wealth Management",11-50,"5 (PMV, Flanders Innovation and Entrepreneurship (VLAIO), Belfius Bank, 365.fintech, AB Accelerator)",2018
Belgium,19) Teamleader,"For SMEs, Teamleader creates a single CRM, invoicing, and project management platform.",Gent,"Jeroen De Wit, Mathias De Loore, Willem Delbare","$37,040,326",4,"CRM, Project Management, SaaS, Software",101-250,"4 (Fortino Capital, PMV, Sage Capital, Keen Venture Partners)",2012
Belgium,20) Guardsquare,Guardsquare creates high-end software to safeguard mobile apps from reverse engineering and hacking.,Leuven,"Eric Lafortune, Heidi Rakels","$29,556,877",2,"Developer Tools, Internet of Things, Mobile, Security, Software",51-100,1 (Battery Ventures),2014
Belgium,21) Edgard & Cooper,Fresh pet food options with natural and nutritional ingredients are available from Edgard & Cooper.,Kortrijk,"Jürgen Degrande, Koen Bostoen, Louis Chalabi","€ 22,000,000",1,"Animal Feed, Pet, Retail",51-100,"2 (The Craftory, DLF Venture)",2014
Belgium,22) RheaVita,RheaVita is a biopharmaceutical business that develops continuous freeze-drying technology.,Zwijnaarde,"Jos Corver, Thomas De Beer","€ 2,500,000",1,"Biopharma, Biotechnology, Mechanical Engineering, Pharmaceutical",1-10,"2 (PMV, Novalis Biotechnology Incubation)",2018
Belgium,23) Collibra,Collibra is the first end-to-end Data Intelligence platform that can help businesses speed their digital transformation.,Brussels,"Felix Van De Maele, Pieter De Leenheer, Stijn Christiaens","$346,486,132",7,"Analytics, Artificial Intelligence, Data Integration, Enterprise Software, Infrastructure",501-1000,"9 (Index Ventures, Battery Ventures, ICONIQ Capital, Dawn Capital, CapitalG)",2008
Belgium,24) Urbantz,Urbantz is a first- and last-mile delivery management software that optimizes and controls operations.,Brussels,"Dimitri De Boose, Jonathan Weber, Jérémy Jaquet, Michael Darchambeau, Mélanie Applincourt","€ 15,700,000",5,"Delivery, Information Technology, Logistics, SaaS, Software",51-100,"2 (ETF Partners, Korys)",2015
Belgium,25) Confo Therapeutics,Confo Therapeutics is a drug discovery firm focused on unmet medical needs that develops internal drug discovery programs based on GPCRs.,Brussels,"Jan Steyaert, Toon Laeremans","€ 45,970,000",8,"Biotechnology, Health Care, Medical, Therapeutics",11-50,"13 (Perceptive Advisors, Wellington Partners, PMV, Capricorn Partners, V-Bio Ventures)",2015
Belgium,26) Nyxoah,Nyxoah is a medical device firm that focuses on hypoglossal nerve stimulation (HGNS) therapeutic development and commercialization.,Mont-saint-guibert,"Adi Mashiach, Robert Taub","€ 66,000,000",4,"Health Care, Medical, Medical Device, Neuroscience",11-50,"5 (ResMed, Gilde Healthcare, S.R.I.W., Cochlear, Viralety Ventures)",2009
Belgium,27) AppTweak,AppTweak is a data-driven provider of app store optimization tools.,Brussels,"Olivier Verdin, Sebastien Dellis","$22,500,000",4,"App Marketing, Apps, Information Technology, Internet, Mobile Advertising, Mobile Apps, SaaS",11-50,"3 (GoBeyond, Be Angels, Groupe Rossel)",2014
Belgium,28) UnifiedPost,UnifiedPost offers Solutions-as-a-Service to help its customers keep up with market advancements.,La Hulpe,"Bart Vermeulen, Hans Leybaert","€ 41,000,000",3,"Information Technology, Internet, Payments",101-250,"4 (Fortino Capital, PMV, SmartFin, Cytiholding)",2000
Belgium,29) Miracor Medical,Miracor Medical is a medical device startup that creates game-changing treatments for serious cardiac conditions.,Awans,Werner Mohl,"$100,101,447",9,"Health Care, Health Diagnostics, Medical, Medical Device, Personal Health",11-50,"15 (Earlybird Venture Capital, S.R.I.W., Yonghua Capital, MedTech Innovator, aws Gründerfonds (aws Founders Fund))",2008
Belgium,30) TrendMiner,"For process industry subject matter experts, TrendMiner provides Discovery, Diagnostic, and Predictive analytics tools.",Hasselt,"Bert Baeck, Thomas Dhollander","€ 9,085,000",5,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Mining, Information Technology, Oil and Gas, Predictive Analytics, Software",51-100,"5 (Fortino Capital, Limburgse Reconversie Maatschappij, SmartFin, Innovation Fund, Gemma Frisius Fund)",2007
Belgium,31) Accelleran,Small Cells and vRAN Software Solution for 4G/5G RAN,Antwerpen,,"$10,189,416",2,"Information Technology, Software, Telecommunications",11-50,"4 (Cogito Capital Partners, Qbic, Ark Angels Activator Fund, Capital-E)",2013
Belgium,32) Biobest,Biobest is a company that creates and distributes natural crop care technologies.,Westerlo,Roland De Jonghe,"€ 20,000,000",1,"Agriculture, Biotechnology, Food Processing, Health Care, Manufacturing",101-250,1 (Merieux Developpement),1987
Belgium,33) icometrix,icometrix creates automated biomarkers that normalize MRI scan measurements in order to improve neurological treatment methods.,Leuven,"Dirk Loeckx, Wim Hecke","$20,175,563",2,"Biotechnology, Clinical Trials, Health Care, Hospital",11-50,"3 (Optum Ventures, Capricorn Partners, Forestay Capital)",2011
Belgium,34) Univercells,"Univercells is a one-stop shop for ""end-to-end"" biomanufacturing solutions with high density and low cost.",Gosselies,"Hugues Bultot, José Castillo","$94,503,705",8,"Biotechnology, Health Care, Manufacturing",11-50,"11 (Kohlberg Kravis Roberts, Bill & Melinda Gates Foundation, Takeda Ventures, Korea Investment Partners, Inventures SA)",2013
Belgium,35) LetsBuild,"For the construction phase, an end-to-end digital platform is needed.",Brussels,"Gari Nickson, Klaus Nyengaard, Nikolaj Berntsen, Renauld Lacroix, Thomas Goubau","€ 8,000,000",1,"Information Technology, Software",101-250,,2019
Belgium,36) Koalaboox,"In one app, you'll find all of your small business administration and finance solutions.",Brussels,"Frédéric Lodewyk, Jean-Charles Dwelshauvers","€ 19,250,000",5,"Commercial Lending, Finance, Financial Services, FinTech, Information Technology, Software",11-50,1 (Speedinvest),2012
Belgium,37) Rydoo,Rydoo is a leading business expense and travel management system for high-growth organizations and enterprises that automates and streamlines procedures.,Mechelen,"Boris Bogaert, Wim Derkinderen","$9,526,546",3,"Finance, SaaS, Software",101-250,"4 (Lorenz Bogaert, Toon Coppens, Bart Swanson, Jonas Dhaenens)",2011
Belgium,38) Unifly,Unifly is a drone integration technology that allows for the safe integration of drones into the airspace.,Antwerp,"Andres Van Swalm, Hans Schrauwen, Jürgen Verstaen, Koen Meuleman","€ 23,200,000",3,"Aerospace, Drone Management, Drones, Mobile Apps, Navigation, Robotics, Smart Cities, Software, Software Engineering",11-50,"5 (Terra Drone, PMV, SFPI-FPIM, Qbic Fund, DFS Deutsche Flugsicherung)",2015
Belgium,39) Promethera Biosciences,Promethera Biosciences is a biopharmaceutical business that specializes on liver disease cell treatment.,Mont-saint-guibert,Etienne Sokal,"$149,103,123",7,"Biotechnology, Pharmaceutical, Therapeutics",101-250,"18 (Sony Innovation Fund, Mitsubishi UFJ Capital, Pegasus Tech Ventures, ITOCHU Technology Ventures, Life Sciences Partners)",2009
Belgium,40) CitizenLab,CitizenLab is a citizen engagement tool that helps local governments re-establish trust with their constituents.,Brussels,"Aline Muylaert, Koen Gremmelprez, Wietse Van Ransbeeck","€ 3,175,000",6,"Crowdsourcing, Government, Software",11-50,"10 (EASME - EU Executive Agency for SMEs, PMV, Inventures SA, KBC, Startup Sesame)",2015
Belgium,41) Skipr,Skipr is a professional mobility SaaS service.,Brussels,"Mathieu de Lophem, Toby Allen","€ 7,000,000",1,"Information Technology, SaaS, Software",11-50,"2 (Belfius Bank, Lab Box)",2019
Belgium,42) Magnax,Next-generation electric vehicles will use axial flux electric motors with high power density.,Kortrijk,"Daan Moreels, Kester Goh, Peter Leijnen","$19,994,079",2,"Aerospace, Air Transportation, Automotive, Electric Vehicle",11-50,"3 (Hirschvogel Ventures, Torus Capital, Vlerick Group)",2015
Belgium,43) Sweepatic,We make organizations' attack surfaces more cyber-resilient.,Leuven,Stijn Vande Casteele,"$1,159,360",3,"Asset Management, Cyber Security",11-50,"2 (CyLon, eCAPITAL ENTREPRENEURIAL PARTNERS)",2016
Belgium,44) Ziphius,Ziphius Vaccines is a biopharmaceutical firm focused on the development of next-generation vaccines for infectious disease prevention.,Merelbeke,"Chris Cardon, Kristof Vercruysse, Mathieu Ghadanfar, Tom Almey","€ 29,300,000",2,"Biotechnology, Medical, Pharmaceutical",11-50,1 (Annie Vereecken),2019
Belgium,45) eTheRNA immunotherapies,"eTheRNA creates immunotherapies that target dendritic cells, which play a critical role in the human immune system.",Jette,Kris Thielemans,"$73,039,737",4,"Biotechnology, Medical Device, Therapeutics",11-50,"12 (European Commission, Life Sciences Partners, PMV, Omega Funds, Boehringer Ingelheim Venture Fund)",2013
Belgium,46) Cumul.io,"Your platform's dashboard building block - SaaS, data visualization, analytics, international",Leuven,"Haroen Vermylen, Karel Callens, Thomas De Clerck","€ 4,050,000",3,"Analytics, B2B, Data Visualization, Information Technology, SaaS, Software",11-50,"3 (Axeleo Capital, Limburgse Reconversie Maatschappij, SmartFin)",2015
Belgium,47) ExeVir Bio,"ExeVir Bio, established in Belgium, develops single-domain antibody-based treatments to help patients fight viral infections.",Zwijnaarde,"Nico Callewaert, Xavier Saelens","€ 42,000,000",1,"Biotechnology, Health Care, Life Science, Therapeutics",1-10,"9 (S.R.I.W., V-Bio Ventures, Meusinvest (Noshaq), Sambrinvest, UCB Ventures)",2020
Belgium,48) Qover,Qover creates its own insurance products and makes them real-time accessible via open APIs.,Brussels,,"$16,656,332",,,11-50,,
Belgium,49) Look&Fin,People can invest in enterprises through Look&Fin in exchange for a piece of future revenue.,Brussels,,"$9,929,135",,,1-10,,
Belgium,50) MobileXpense,MobileXpense is a professional travel and spending management company.,Brussels,,"$23,705,445",,,101-250,,
Belgium,51) ANYTIME,"New, cutting-edge banking services for individuals and businesses",Brussels,,"$9,356,253",,,11-50,,
Belgium,52) Bsit,Bsit is a mobile app that connects parents with carers who have been recommended by friends.,Brussels,,"$3,342,692",,,11-50,,
Belgium,53) GetHey,"Hey is making the Internet a more welcoming place by allowing you to debate, ask questions, and read information on any website.",Brussels,,"$807,321",,,1-10,,
Belgium,54) Wooclap,"Wooclap is the ideal web-based solution for increasing audience participation during a conference, class, or company meeting.",Brussels,,"$2,582,613",,,1-10,,
Belgium,55) LindaCare,LindaCare was founded on the real-life frustrations of a nurse named Linda.,Brussels,,"$10,263,981",,,11-50,,
Belgium,56) Nodalview,"Nodalview creates high-quality graphics for real estate assets by combining smartphone technology, artificial intelligence, and cloud computing.",Brussels,,"$1,875,864",,,11-50,,
Belgium,57) Yields,An artificial intelligence (A.I.) model risk management platform,Brussels,,"$1,544,720",,,11-50,,
Belgium,58) Qollabi,"BRM stands for Business Relationship Management Software, and it is used by professionals that manage indirect sales channels (eg agents, partners, resellers)",Brussels,,"$1,681,507",,,1-10,,
Belgium,59) Tricount,Tricount is a mobile app that allows a group of friends to pool their spending.,Brussels,,"$800,012",,,1-10,,
Belgium,60) ExploreShare,Adventure tours and activities offered by licensed mountain guides and leaders from all over the world are promoted in this market place.,Brussels,,"$1,129,486",,,11-50,,
Belgium,61) Smartbeam,Smartbeam is a construction budget management program that works in real time.,Brussels,,"$1,130,695",,,1-10,,
Belgium,62) Ovizio,Ovizio creates products for digital holographic interferometric microscopy.,Brussels,,"$8,600,715",,,11-50,,
Belgium,63) Peas&Love,Peas&Love provides cities with eco-systemic services that improve their quality of life and foster social interactions.,Brussels,,"$3,304,788",,,11-50,,
Belgium,64) Drawbotics,Drawbotics is a marketplace for all real estate marketing and communication needs.,Brussels,,"$538,598",,,51-100,,
Belgium,65) Seety,Seety is a mobile app that makes city parking more intelligent. We assist clients in lowering their parking expenses and avoiding parking tickets.,Brussels,,"$982,403",,,11-50,,
Belgium,66) ActusDigital,"Actus is a global provider of OTT and social broadcast recording, monitoring, compliance, and clip production services.",Brussels,,"$3,750,000",,,11-50,,
Belgium,67) LucidWeb,"LucidWeb offers multi-device VR/AR experiences that can be accessed through a browser on any smartphone, desktop, or VR headset.",Brussels,,"$173,994",,,11-50,,
Belgium,68) GabiSmartCare,Gabi SmartCare's outpatient predictive monitoring technology enhances the lives of children.,Brussels,,"$805,635",,,1-10,,
Belgium,69) 3E,3E is a privately held multinational consultancy and software products firm.,Brussels,,"$2,911,284",,,,,
Belgium,70) CentralApp,CentralApp makes it possible for local businesses to be found on the internet.,Brussels,,"$562,183",,,1-10,,
Belgium,71) Medispring,Medispring assists doctors in providing excellent treatment. Medispring is more than just medical software; it's a group of doctors who work for doctors.,Brussels,,"$1,149,150",,,11-50,,
Belgium,72) TheShopally,Shopally is a mobile software that allows social media influencers to generate shoppable content and distribute them on social media.,Brussels,,"$1,400,000",,,1-10,,
