rank,country,name,description,state,city,started_in,founders,industries,employees,funding_raw,funding_rounds,investors_count,investors_list,source_url,employees_min,employees_max,funding_usd,industries_list,founders_list,text,clean_text,cluster
11,Austria,TTTech,"TTTech is a technology pioneer in networked safety controls situated in Vienna, Austria.",Wien,Vienna,1998.0,"Georg Kopetz, Stefan Poledna","Aerospace, Automotive, Autonomous Vehicles, Computer, Electronics, Industrial Automation, Internet of Things, Network Security, Software",1001-5000,,5.0,8.0,"[""Samsung Electronics"", ""Infineon Technologies"", ""Audi AG"", ""General Electric (GE""]",https://www.failory.com/startups/austria,1001.0,5000.0,,"[""Aerospace"", ""Automotive"", ""Autonomous Vehicles"", ""Computer"", ""Electronics"", ""Industrial Automation"", ""Internet of Things"", ""Network Security"", ""Software""]","[""Georg Kopetz"", ""Stefan Poledna""]","TTTech is a technology pioneer in networked safety controls situated in Vienna, Austria.",tttech technology pioneer networked safety controls situated vienna austria,-1
12,Austria,Raiffeisen Bank,Raiffeisen Bank is a financial institution that provides personal and corporate banking services.,Wien,Vienna,2002.0,,"Banking, Financial Services, Lending",10001+,,1.0,1.0,"[""International Finance Corporation""]",https://www.failory.com/startups/austria,,,,"[""Banking"", ""Financial Services"", ""Lending""]","[""""]",Raiffeisen Bank is a financial institution that provides personal and corporate banking services.,raiffeisen bank financial institution provides personal corporate banking services,7
13,Austria,Bikemap,"Bikemap is a global provider of bike map and navigation services. Offline, routing, and map functions are all available with a mobile subscription.",Wien,Vienna,2014.0,"Christof Hinterplattner, Matthias Natmessnig, Peter Eich","Navigation, Sports, Travel",11-50,,6.0,3.0,"[""Speedinvest"", ""Ponooc"", ""Peter Eich""]",https://www.failory.com/startups/austria,11.0,50.0,,"[""Navigation"", ""Sports"", ""Travel""]","[""Christof Hinterplattner"", ""Matthias Natmessnig"", ""Peter Eich""]","Bikemap is a global provider of bike map and navigation services. Offline, routing, and map functions are all available with a mobile subscription.",bikemap global provider bike map navigation services offline routing map functions available mobile subscription,0
14,Austria,Cortical.io,Cortical.io provides AI-based natural language comprehension solutions based on neuroscience-inspired technologies.,Wien,Vienna,2011.0,"Daniel Schreiber, Francisco De Sousa Webber","Artificial Intelligence, Big Data, Enterprise Software, Information Technology, Legal Tech, Machine Learning, Natural Language Processing, Semantic Search, Software",11-50,"$15,318,717",6.0,6.0,"[""European Investment Bank"", ""Xilinx"", ""Numenta"", ""Open Field Capital"", ""Zirngast""]",https://www.failory.com/startups/austria,11.0,50.0,15318717.0,"[""Artificial Intelligence"", ""Big Data"", ""Enterprise Software"", ""Information Technology"", ""Legal Tech"", ""Machine Learning"", ""Natural Language Processing"", ""Semantic Search"", ""Software""]","[""Daniel Schreiber"", ""Francisco De Sousa Webber""]",Cortical.io provides AI-based natural language comprehension solutions based on neuroscience-inspired technologies.,cortical io provides ai based natural language comprehension solutions based neuroscience inspired technologies,10
15,Austria,mySugr,"mySugr is a digital health startup whose mission is to ""make diabetes suffer less.""",Wien,Vienna,2012.0,"Frank Westermann, Fredrik Debong, Gerald Stangl, Michael Forisch","Diabetes, Fitness, Health Care, mHealth, Wellness",101-250,"$6,627,695",3.0,5.0,"[""['Roche Venture Fund'"", ""'iSeed Ventures'"", ""'Johann \""Hansi\"" Hansmann'"", ""'XL Group'"", ""'XLHEALTH']""]",https://www.failory.com/startups/austria,101.0,250.0,6627695.0,"[""Diabetes"", ""Fitness"", ""Health Care"", ""mHealth"", ""Wellness""]","[""Frank Westermann"", ""Fredrik Debong"", ""Gerald Stangl"", ""Michael Forisch""]","mySugr is a digital health startup whose mission is to ""make diabetes suffer less.""",mysugr digital health startup whose mission make diabetes suffer less,2
16,Austria,Storyblok,"Storyblok is a CMS as a Service that is both headless and API-based. A content management system for editors, with structured data for developers.",Oberosterreich,Linz,2017.0,"Alexander Feiglstorfer, Dominik Angerer","CMS, IaaS, Information Technology, Internet, PaaS, SaaS, Web Design, Web Development, Web Hosting",11-50,"$11,000,000",2.0,4.0,"[""Firstminute Capital"", ""Founders Factory"", ""Mubadala Capital | Ventures Europe"", ""3VC""]",https://www.failory.com/startups/austria,11.0,50.0,11000000.0,"[""CMS"", ""IaaS"", ""Information Technology"", ""Internet"", ""PaaS"", ""SaaS"", ""Web Design"", ""Web Development"", ""Web Hosting""]","[""Alexander Feiglstorfer"", ""Dominik Angerer""]","Storyblok is a CMS as a Service that is both headless and API-based. A content management system for editors, with structured data for developers.",storyblok cms service headless api based content management system editors structured data developers,-1
17,Austria,Anyline,Anyline provides a simple scanning solution that saves both time and money.,Wien,Vienna,2013.0,"Daniel Albertini, David Dengg, Jakob Hofer, Lukas Kinigadner","Document Management, Energy Management, Image Recognition, Industrial Automation",51-100,"$17,016,495",5.0,9.0,"[""Project A Ventures"", ""Senovo"", ""Swarovski Group"", ""iSeed Ventures"", ""PUSH Ventures""]",https://www.failory.com/startups/austria,51.0,100.0,17016495.0,"[""Document Management"", ""Energy Management"", ""Image Recognition"", ""Industrial Automation""]","[""Daniel Albertini"", ""David Dengg"", ""Jakob Hofer"", ""Lukas Kinigadner""]",Anyline provides a simple scanning solution that saves both time and money.,anyline provides simple scanning solution saves time money,-1
18,Austria,kompany,kompany is a RegTech platform for global business verification (KYC) and anti-money laundering compliance.,Wien,Vienna,2012.0,"Bernhard Hoetzl, Iris Pittl, Peter Bainbridge-Clayton, Russell Perry, Vito Gianelly","B2B, FinTech, GovTech, Information Services, Information Technology",51-100,"$15,478,530",11.0,21.0,"[""Global Brain Corporation"", ""Chris Adelsbach"", ""UNIQA Ventures"", ""Elevator Ventures"", ""Austria Wirtschaftsservice""]",https://www.failory.com/startups/austria,51.0,100.0,15478530.0,"[""B2B"", ""FinTech"", ""GovTech"", ""Information Services"", ""Information Technology""]","[""Bernhard Hoetzl"", ""Iris Pittl"", ""Peter Bainbridge-Clayton"", ""Russell Perry"", ""Vito Gianelly""]",kompany is a RegTech platform for global business verification (KYC) and anti-money laundering compliance.,kompany regtech platform global business verification kyc anti money laundering compliance,7
19,Austria,Mostly AI,Mostly AI is a digital-age IT firm that enables privacy-preserving big data applications.,Wien,Vienna,2017.0,"Klaudius Kalcher, Michael Platzer, Roland Boubela","Artificial Intelligence, Big Data, Information Technology, Machine Learning, Predictive Analytics, Privacy, Software",11-50,"$6,145,550",2.0,3.0,"[""Earlybird Venture Capital"", ""42CAP"", ""PUSH Ventures""]",https://www.failory.com/startups/austria,11.0,50.0,6145550.0,"[""Artificial Intelligence"", ""Big Data"", ""Information Technology"", ""Machine Learning"", ""Predictive Analytics"", ""Privacy"", ""Software""]","[""Klaudius Kalcher"", ""Michael Platzer"", ""Roland Boubela""]",Mostly AI is a digital-age IT firm that enables privacy-preserving big data applications.,mostly ai digital age firm enables privacy preserving big data applications,10
20,Austria,Medicus AI,Medicus AI creates an artificial intelligence (AI)-based enterprise and app platform that helps people make sense of their health data.,Wien,Vienna,2015.0,"Baher Al Hakim, Makram Saleh, Nadine Nehme","Analytics, Artificial Intelligence, Health Diagnostics, Intelligent Systems, Medical, Predictive Analytics",101-250,,3.0,14.0,"[""Speedinvest"", ""Die Br\u00c3\u00bcckenk\u00c3\u00b6pfe"", ""Biopart"", ""Vladiano Varnier"", ""West Asia Investment Partners S.a.r.l.""]",https://www.failory.com/startups/austria,101.0,250.0,,"[""Analytics"", ""Artificial Intelligence"", ""Health Diagnostics"", ""Intelligent Systems"", ""Medical"", ""Predictive Analytics""]","[""Baher Al Hakim"", ""Makram Saleh"", ""Nadine Nehme""]",Medicus AI creates an artificial intelligence (AI)-based enterprise and app platform that helps people make sense of their health data.,medicus ai creates artificial intelligence ai based enterprise app platform helps people make sense health data,-1
21,Austria,eyeson,eyeson is a cloud-based video conferencing SaaS and API.,Steiermark,Graz,2010.0,"Andreas Kröpfl, Michael Wolfgang","Broadcasting, Cloud Data Services, Collaboration, Developer APIs, Information Technology, Software, Unified Communications, Video Conferencing, Video Streaming",11-50,,7.0,6.0,"[""aws Gr\u00c3\u00bcnderfonds (aws Founders Fund""]",https://www.failory.com/startups/austria,11.0,50.0,,"[""Broadcasting"", ""Cloud Data Services"", ""Collaboration"", ""Developer APIs"", ""Information Technology"", ""Software"", ""Unified Communications"", ""Video Conferencing"", ""Video Streaming""]","[""Andreas Kr\u00c3\u00b6pfl"", ""Michael Wolfgang""]",eyeson is a cloud-based video conferencing SaaS and API.,eyeson cloud based video conferencing saas api,-1
22,Austria,PROPSTER,Propster is a construction project management business that works with architects and property developers.,Wien,Vienna,2017.0,Milan Zahradnik,"Information Services, Information Technology, Property Development, Real Estate",11-50,,1.0,6.0,"[""Pi Labs"", ""Axeleo Capital"", ""aws Gr\u00c3\u00bcnderfonds (aws Founders Fund""]",https://www.failory.com/startups/austria,11.0,50.0,,"[""Information Services"", ""Information Technology"", ""Property Development"", ""Real Estate""]","[""Milan Zahradnik""]",Propster is a construction project management business that works with architects and property developers.,propster construction project management business works architects property developers,-1
1,Belgium,iBanFirst,iBanFirst is a fintech platform established in Belgium that enables B2B payments in a variety of currencies.,Brussels Hoofdstedelijk Gewest,Brussels,2013.0,Pierre Antoine Dusoulier,"Banking, Financial Services, FinTech, Payments",51-100,"$51,704,894",3.0,5.0,"[""Bpifrance"", ""Elaia"", ""Xavier Niel"", ""Serena"", ""Breega""]",https://www.failory.com/startups/belgium,51.0,100.0,51704894.0,"[""Banking"", ""Financial Services"", ""FinTech"", ""Payments""]","[""Pierre Antoine Dusoulier""]",iBanFirst is a fintech platform established in Belgium that enables B2B payments in a variety of currencies.,ibanfirst fintech platform established belgium enables b b payments variety currencies,-1
2,Belgium,Lansweeper,Lansweeper is a software business that specializes in IT asset management software.,Oost-Vlaanderen,Grembergen,2004.0,,"Asset Management, Compliance, Information Technology, Software",101-250,,1.0,1.0,"[""Insight Partners""]",https://www.failory.com/startups/belgium,101.0,250.0,,"[""Asset Management"", ""Compliance"", ""Information Technology"", ""Software""]","[""""]",Lansweeper is a software business that specializes in IT asset management software.,lansweeper software business specializes asset management software,7
3,Belgium,Odoo,"Odoo SA is an open-source business application package that is actively programmed, supported, and managed.",Brabant Wallon,Grand-Rosiã¨Re,2005.0,Fabien Pinckaers,"E-Commerce, Human Resources, Open Source, Software",1001-5000,"$104,121,196",3.0,5.0,"[""Summit Partners"", ""XAnge"", ""S.R.I.W."", ""Sofinnova Partners"", ""Meusinvest (Noshaq""]",https://www.failory.com/startups/belgium,1001.0,5000.0,104121196.0,"[""E-Commerce"", ""Human Resources"", ""Open Source"", ""Software""]","[""Fabien Pinckaers""]","Odoo SA is an open-source business application package that is actively programmed, supported, and managed.",odoo sa open source business application package actively programmed supported managed,-1
4,Belgium,Showpad,The most beneficial thing that has ever happened to your sales staff,Oost-Vlaanderen,Gent,2011.0,"Louis Jonckheere, Peter Minne, Pieterjan Bouten","Analytics, Content, Enterprise Software, Marketing, Meeting Software, SaaS, Sales Automation, Software, Training",251-500,"$159,500,000",6.0,6.0,"[""Insight Partners"", ""Dawn Capital"", ""Silicon Valley Bank"", ""Hummingbird Ventures"", ""Korelya Capital""]",https://www.failory.com/startups/belgium,251.0,500.0,159500000.0,"[""Analytics"", ""Content"", ""Enterprise Software"", ""Marketing"", ""Meeting Software"", ""SaaS"", ""Sales Automation"", ""Software"", ""Training""]","[""Louis Jonckheere"", ""Peter Minne"", ""Pieterjan Bouten""]",The most beneficial thing that has ever happened to your sales staff,beneficial thing ever happened sales staff,-1
5,Belgium,Customs4trade (C4T),"CAS, a SaaS service from Customs4trade, automates customs and trade compliance.",Antwerpen,Mechelen,2004.0,"Ilse Vermeersch, Pieter Haesaert","SaaS, Software, Trading Platform",51-100,,3.0,4.0,"[""83North"", ""42CAP"", ""Hi Inov - Dentressangle"", ""10x Group""]",https://www.failory.com/startups/belgium,51.0,100.0,,"[""SaaS"", ""Software"", ""Trading Platform""]","[""Ilse Vermeersch"", ""Pieter Haesaert""]","CAS, a SaaS service from Customs4trade, automates customs and trade compliance.",cas saas service customs trade automates customs trade compliance,-1
6,Belgium,Cohabs,Cohabs is a global network of lovely shared houses for travelers.,Brussels Hoofdstedelijk Gewest,Brussels,2016.0,"François Samyn, Youri Dauber","Communities, Real Estate",11-50,"$88,749,493",4.0,5.0,"[""Federale"", ""Finance.Brussels"", ""AG Real Estate"", ""Alphastone"", ""Alphastone""]",https://www.failory.com/startups/belgium,11.0,50.0,88749493.0,"[""Communities"", ""Real Estate""]","[""Fran\u00c3\u00a7ois Samyn"", ""Youri Dauber""]",Cohabs is a global network of lovely shared houses for travelers.,cohabs global network lovely shared houses travelers,1
7,Belgium,Cowboy,Cowboy is a manufacturer and creator of cutting-edge electric bicycles for city dwellers.,Brussels Hoofdstedelijk Gewest,Brussels,2017.0,"Adrien Roose, Karim Slaoui, Tanguy Goretti","Automotive, Electric Vehicle, Manufacturing",101-250,"$46,102,283",7.0,18.0,"[""Index Ventures"", ""Crowdcube"", ""Tiger Global Management"", ""Kima Ventures"", ""Greyhound Capital""]",https://www.failory.com/startups/belgium,101.0,250.0,46102283.0,"[""Automotive"", ""Electric Vehicle"", ""Manufacturing""]","[""Adrien Roose"", ""Karim Slaoui"", ""Tanguy Goretti""]",Cowboy is a manufacturer and creator of cutting-edge electric bicycles for city dwellers.,cowboy manufacturer creator cutting edge electric bicycles city dwellers,0
8,Belgium,Apicbase,"Manage products, inventories, orders, health and safety, and sales statistics from a single SaaS platform.",Antwerpen,Antwerp,2017.0,"Carl Jacobs, Julien Burlat, Kim Rothuys, Pieter Wellens","Digital Media, Food and Beverage, Information Technology, Internet, PaaS, Restaurants, SaaS, Software",11-50,,3.0,4.0,"[""Volta Ventures"", ""Newion"", ""Ark Angels Activator Fund"", ""BAN Vlaanderen""]",https://www.failory.com/startups/belgium,11.0,50.0,,"[""Digital Media"", ""Food and Beverage"", ""Information Technology"", ""Internet"", ""PaaS"", ""Restaurants"", ""SaaS"", ""Software""]","[""Carl Jacobs"", ""Julien Burlat"", ""Kim Rothuys"", ""Pieter Wellens""]","Manage products, inventories, orders, health and safety, and sales statistics from a single SaaS platform.",manage products inventories orders health safety sales statistics single saas platform,-1
9,Belgium,Silverfin,Silverfin is a cloud-based financial reporting platform with value-added customer advising services.,Oost-Vlaanderen,Gent,2013.0,"Joris Van Der Gucht, Tim Vandecasteele","Accounting, Financial Services, FinTech, SaaS, Software",101-250,"$34,500,000",3.0,3.0,"[""Index Ventures"", ""SmartFin"", ""Hg""]",https://www.failory.com/startups/belgium,101.0,250.0,34500000.0,"[""Accounting"", ""Financial Services"", ""FinTech"", ""SaaS"", ""Software""]","[""Joris Van Der Gucht"", ""Tim Vandecasteele""]",Silverfin is a cloud-based financial reporting platform with value-added customer advising services.,silverfin cloud based financial reporting platform value added customer advising services,7
11,Belgium,Proxyclick,Proxyclick is a cloud-based guest management system that takes care of everything from invitation to checkout.,Brussels Hoofdstedelijk Gewest,Brussels,2008.0,"Geoffroy De Cooman, Gregory Blondeau, Jean-Bernard van Zuylen, Laurent Parmentier","E-Commerce, Enterprise Software, Facility Management, Hospitality, SaaS, Social Media, Software",11-50,"$18,533,469",2.0,3.0,"[""Five Elms Capital"", ""Join Capital"", ""Isomer Capital""]",https://www.failory.com/startups/belgium,11.0,50.0,18533469.0,"[""E-Commerce"", ""Enterprise Software"", ""Facility Management"", ""Hospitality"", ""SaaS"", ""Social Media"", ""Software""]","[""Geoffroy De Cooman"", ""Gregory Blondeau"", ""Jean-Bernard van Zuylen"", ""Laurent Parmentier""]",Proxyclick is a cloud-based guest management system that takes care of everything from invitation to checkout.,proxyclick cloud based guest management system takes care everything invitation checkout,1
12,Belgium,Sentiance,Sentiance is a data science and behavioral change startup that transforms sensor data into actionable insights into people's behavior and context.,Antwerpen,Antwerpen,2011.0,Toon Vanparys,"Analytics, Artificial Intelligence, Internet of Things, Machine Learning, Predictive Analytics, Software",51-100,"$29,558,487",7.0,10.0,"[""Volta Ventures"", ""Samsung Catalyst Fund"", ""Qbic Fund"", ""Michel Akkermans"", ""Samsung Strategy and Innovation Center""]",https://www.failory.com/startups/belgium,51.0,100.0,29558487.0,"[""Analytics"", ""Artificial Intelligence"", ""Internet of Things"", ""Machine Learning"", ""Predictive Analytics"", ""Software""]","[""Toon Vanparys""]",Sentiance is a data science and behavioral change startup that transforms sensor data into actionable insights into people's behavior and context.,sentiance data science behavioral change startup transforms sensor data actionable insights people behavior context,-1
13,Belgium,moveUP,moveUP is a startup that specializes in digital therapeutics.,Brussels Hoofdstedelijk Gewest,Brussels,2015.0,,"Health Care, mHealth, Therapeutics",11-50,,1.0,5.0,"[""Nina Capital"", ""Karista"", ""Qbic"", ""Carevolution"", ""White Fund""]",https://www.failory.com/startups/belgium,11.0,50.0,,"[""Health Care"", ""mHealth"", ""Therapeutics""]","[""""]",moveUP is a startup that specializes in digital therapeutics.,moveup startup specializes digital therapeutics,2
14,Belgium,Biotalys,Biotalys is a green biotech firm that develops crop protection solutions using its own Agrobody technology platform.,Oost-Vlaanderen,Ghent,2012.0,"Erik Jongedijk, Marnix Peferoen, Peter Verheesen","Agriculture, AgTech, Biotechnology",11-50,"$71,607,142",6.0,16.0,"[""SoFi"", ""PMV"", ""Gimv"", ""Sofinnova Partners"", ""Flanders Innovation and Entrepreneurship (VLAIO""]",https://www.failory.com/startups/belgium,11.0,50.0,71607142.0,"[""Agriculture"", ""AgTech"", ""Biotechnology""]","[""Erik Jongedijk"", ""Marnix Peferoen"", ""Peter Verheesen""]",Biotalys is a green biotech firm that develops crop protection solutions using its own Agrobody technology platform.,biotalys green biotech firm develops crop protection solutions using agrobody technology platform,2
15,Belgium,MobieTrain,Your Frontline Team's #1 Mobile Microlearning App,Limburg,Genk,2015.0,"Guy Van Neck, Mireille van Hemert-Schelling, Willi Van Boven","E-Learning, Education, Government, Human Resources, Logistics, Retail, Retail Technology",11-50,,4.0,7.0,"[""Startupbootcamp"", ""Force Over Mass Capital"", ""ING Group"", ""BNP Paribas Fortis"", ""Limburgse Reconversie Maatschappij""]",https://www.failory.com/startups/belgium,11.0,50.0,,"[""E-Learning"", ""Education"", ""Government"", ""Human Resources"", ""Logistics"", ""Retail"", ""Retail Technology""]","[""Guy Van Neck"", ""Mireille van Hemert-Schelling"", ""Willi Van Boven""]",Your Frontline Team's #1 Mobile Microlearning App,frontline team mobile microlearning app,6
16,Belgium,Soda,"Soda is a data monitoring tool that ensures that your data is fit for purpose, verifiable, and reliable.",Brussels Hoofdstedelijk Gewest,Brussels,2018.0,"Maarten Masschelein, Tom Baeyens","Analytics, Big Data, Business Intelligence, Cloud Data Services, Machine Learning, Software, Test and Measurement",11-50,,3.0,5.0,"[""Point Nine"", ""Hummingbird Ventures"", ""Singular"", ""Data Community Fund"", ""Innoviris""]",https://www.failory.com/startups/belgium,11.0,50.0,,"[""Analytics"", ""Big Data"", ""Business Intelligence"", ""Cloud Data Services"", ""Machine Learning"", ""Software"", ""Test and Measurement""]","[""Maarten Masschelein"", ""Tom Baeyens""]","Soda is a data monitoring tool that ensures that your data is fit for purpose, verifiable, and reliable.",soda data monitoring tool ensures data fit purpose verifiable reliable,-1
